#{"t_start": 1776093006.9713504, "env_id": "None"}
r,l,t
1042.825007,5704,165874.364273
1028.529176,5987,165955.563309
1018.768654,6253,166039.726953
1028.36537,6180,166122.219664
1031.007666,6060,166204.759924
1012.139095,6201,166287.610486
1043.077675,5851,167119.887632
1025.27883,5871,167199.507153
1032.094821,5895,167278.631265
1031.468891,6195,167362.458402
1042.219807,5840,167442.17509
1021.926697,5933,167523.335591
1015.599213,5995,167604.503141
1030.778416,5952,167686.323034
1025.860701,6063,167767.286935
1023.045459,6164,167849.631059
1038.381195,6020,168694.618082
1037.733733,5991,168779.097638
1035.327116,6022,168864.617636
1036.768447,6132,168947.624223
1014.046554,5989,169026.602214
1014.286881,6370,169112.550432
1029.274207,6082,169194.043982
1016.022922,5961,169275.834184
1025.31282,5985,169357.06064
1020.358989,6194,169439.035563
1026.162701,6087,170249.424131
1022.959998,6012,170331.292864
1035.752773,5923,170410.162074
1009.544468,6159,170495.57549
1038.201337,6151,170577.814008
1017.243305,6078,170660.506295
1025.823853,6041,170743.073656
1039.579665,5929,170823.747855
1026.186409,6089,170906.318742
1033.351349,5862,170985.301521
1028.269939,5902,171820.87386
1022.623314,6028,171902.931454
1018.057404,5976,171984.505631
1021.777699,6142,172068.070991
1006.867724,6113,172151.878698
1039.456947,5925,172233.748463
1026.834105,5945,172314.429139
1012.165786,5995,172394.890354
1024.984408,6055,172477.355499
1029.516862,5935,172557.599777
1025.656326,5827,173375.672659
1037.276544,5815,173456.569532
1032.162622,6150,173540.740285
1031.570766,5862,173621.961375
1027.202555,6098,173704.394658
1028.810325,5981,173785.909426
1032.121641,6022,173868.811896
1031.828738,6028,173950.512116
1026.200483,5941,174032.230838
1023.402524,5952,174116.925994
1026.975197,6218,174948.810613
1029.408388,6023,175030.764122
1038.832435,6043,175113.71965
1022.948286,5951,175194.98048
1029.08959,5864,175274.770896
1017.110142,6141,175358.61051
1037.462215,5902,175438.359028
1008.579686,6039,175519.70003
1033.213017,5930,175599.977593
1036.339726,5903,175679.706386
1035.585148,5945,176494.610265
1039.031687,5947,176575.102887
